"","price_1","bhk_1","area_sqft_1","area_sqft_2","area_sqft_3","area_sqft_4","latitude","longitude","top_facilities_1","top_facilities_2","top_facilities_3","top_facilities_4","top_facilities_5","top_facilities_6","top_facilities_7","top_facilities_8","top_facilities_9","other_facilities_1","other_facilities_2","other_facilities_3","other_facilities_4","other_facilities_5","other_facilities_6","other_facilities_7","other_facilities_8","other_facilities_9","other_facilities_10","other_facilities_11","other_facilities_12","other_facilities_13","other_facilities_14","other_facilities_15","other_facilities_16","other_facilities_17","other_facilities_18","other_facilities_19","other_facilities_20","other_facilities_21","other_facilities_22","other_facilities_23","other_facilities_24","other_facilities_25","other_facilities_26","other_facilities_27","other_facilities_28","other_facilities_29","other_facilities_30","other_facilities_31","other_facilities_32","other_facilities_33","other_facilities_34","other_facilities_35","other_facilities_36","other_facilities_37","other_facilities_38","other_facilities_39","other_facilities_40","other_facilities_41","other_facilities_42","other_facilities_43","other_facilities_44","other_facilities_45","other_facilities_46","other_facilities_47","other_facilities_48","other_facilities_49","locational_advantages_1","locational_advantages_2","locational_advantages_3","locational_advantages_4","locational_advantages_5","locational_advantages_6","locational_advantages_7","locational_advantages_8","locational_advantages_9","locational_advantages_10","locational_advantages_11","locational_advantages_12","locational_advantages_13","locational_advantages_14","locational_advantages_15","locational_advantages_16","locational_advantages_17","locational_advantages_18","locational_advantages_19","locational_advantages_20","locational_advantages_21","locational_advantages_22","locational_advantages_23","locational_advantages_24","locational_advantages_25","locational_advantages_26","locational_advantages_27","locational_advantages_28","locational_advantages_29","locational_advantages_30","distance_to_locational_advantage_1","distance_to_locational_advantage_2","distance_to_locational_advantage_3","distance_to_locational_advantage_4","distance_to_locational_advantage_5","distance_to_locational_advantage_6","distance_to_locational_advantage_7","distance_to_locational_advantage_8","distance_to_locational_advantage_9","distance_to_locational_advantage_10","distance_to_locational_advantage_11","distance_to_locational_advantage_12","distance_to_locational_advantage_13","distance_to_locational_advantage_14","distance_to_locational_advantage_15","distance_to_locational_advantage_16","distance_to_locational_advantage_17","distance_to_locational_advantage_18","distance_to_locational_advantage_19","distance_to_locational_advantage_20","distance_to_locational_advantage_21","distance_to_locational_advantage_22","distance_to_locational_advantage_23","distance_to_locational_advantage_24","distance_to_locational_advantage_25","distance_to_locational_advantage_26","distance_to_locational_advantage_27","distance_to_locational_advantage_28","distance_to_locational_advantage_29","distance_to_locational_advantage_30"
"1","₹ 1.98 - 4 Cr","3, 4 BHK Apartment","1700 - 1810 sq.ft.","1976 - 2062 sq.ft.",NA,NA,22.573977,88.398249,"Air Hockey","Swimming Pool","Conference room","Card Room","High Speed Elevators","Water Softener Plant","Creche/Day care","Billiards","Fountain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Calcutta Jute Mill","Kadapara Bus Stop","Suktara Cinema","Subhash Sarabor Sub Post Office","Vishwa Darshan Tours","Kotak Mahindra Bank","Phoolbagan Metro","Central Public Works Department","Techno India University","Indian Coast Guard","State Bank ATM","Apollo Gleneagles Hospitals","Acharya Prafulla Chandra Park","Bandhan Bank","Kankurgachhi Road Cabin","Calcutta Jute Mill","Kadapara Bus Stop","Suktara Cinema","Subhash Sarabor Sub Post Office","Vishwa Darshan Tours","Kotak Mahindra Bank","Phoolbagan Metro","Central Public Works Department","Techno India University","Indian Coast Guard","State Bank ATM","Apollo Gleneagles Hospitals","Acharya Prafulla Chandra Park","Bandhan Bank","Kankurgachhi Road Cabin","550m","900m","950m","1.2km","1.3km","1.5km","1.5km","1.6km","1.8km","1.8km","1.8km","1.8km","2.1km","2.1km","2.9km","550m","900m","950m","1.2km","1.3km","1.5km","1.5km","1.6km","1.8km","1.8km","1.8km","1.8km","2.1km","2.1km","2.9km"
"2","₹ 45 L - 1.08 Cr","1, 2, 3, 4 BHK Apartment","910 sq.ft.","1030 - 1430 sq.ft.","",NA,22.627941129822,88.523756706344,"Foosball","Swimming Pool","Business Lounge","Reflexology Park","Conference room","Salon","Jacuzzi","Spa","Squash Court",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rajarhat Main Road","North Point Senior Secondary School","Lotus Hospital","Vedic Village Resort","Eco Park Metro Station","Centrus Mall","PS QUBE Business Park","Eco Park Golf Arena","Amity University","Netaji Subhash Chandra Bose Airport","Kolkata Railway Station","Rajarhat Main Road","North Point Senior Secondary School","Lotus Hospital","Vedic Village Resort","Eco Park Metro Station","Centrus Mall","PS QUBE Business Park","Eco Park Golf Arena","Amity University","Netaji Subhash Chandra Bose Airport","Kolkata Railway Station",NA,NA,NA,NA,NA,NA,NA,NA,"3 Meters","140 Meters","5.5 Km","5.7 Km","9.1 Km","9.3 Km","9.5 Km","10 Km","10.3 Km","12.1 Km","18 Km","3 Meters","140 Meters","5.5 Km","5.7 Km","9.1 Km","9.3 Km","9.5 Km","10 Km","10.3 Km","12.1 Km","18 Km",NA,NA,NA,NA,NA,NA,NA,NA
"3","₹ 41.84 - 96 L","2, 3 BHK Apartment","615 - 639 sq.ft.","746 - 1187 sq.ft.",NA,NA,22.623709940634,88.504612709089,"Mini Theatre","Air Hockey","Acupressure Park","Foosball","Swimming Pool","Football","Golf Course","Changing Area","Volley Ball Court",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kalaberia School","Rajarhat Main Road","Tata Medical Centre","Aliah University","Eco Park Golf Arena","The Westin Kolkata Rajarhat","City Centre New Town","Siksha Tirtha Metro station","NSCB International Airport","NKDA Football Stadium","Wipro","Kolkata Railway Station","Wet O Wild","Kalaberia School","Rajarhat Main Road","Tata Medical Centre","Aliah University","Eco Park Golf Arena","The Westin Kolkata Rajarhat","City Centre New Town","Siksha Tirtha Metro station","NSCB International Airport","NKDA Football Stadium","Wipro","Kolkata Railway Station","Wet O Wild",NA,NA,NA,NA,"1.9 km","2.1 km","7 km","8 km","8 km","8.1 km","8.1 km","8.2 km","10.2 km","11.7 km","14.2 km","16 km","16 km","1.9 km","2.1 km","7 km","8 km","8 km","8.1 km","8.1 km","8.2 km","10.2 km","11.7 km","14.2 km","16 km","16 km",NA,NA,NA,NA
"4","₹ 61 L - 1.6 Cr","2, 3, 4 BHK Apartment","627 - 660 sq.ft.","894 - 1186 sq.ft.","1431 - 1486 sq.ft.",NA,22.481623,88.324648,"Mini Theatre","Natural Pond","Infinity Pool","Swimming Pool","Bar/Chill-Out Lounge","Barbecue","Terrace Garden","Jacuzzi","Water Softener Plant","Theatre","Banquet Hall","Library","Sun Deck","Video Door Security","Multipurpose Court","Amphitheatre","Toddler Pool","Party Lawn","Basketball Court","Multipurpose Hall","Yoga/Meditation Area","Indoor Games","Sewage Treatment Plant","CCTV Camera Security","Jogging Track","Rain Water Harvesting","24x7 Security","Club House","24/7 Power Backup","Gated Community","Gymnasium","24/7 Water Supply","Landscape Garden","Children's Play Area","Lift(s)","Car Parking","Chess","Security Cabin","Paved Compound","InterCom","Fire Fighting Systems",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH 12","Gholsapur Stadium","Behala Chowrasta","Umri Hospital","Barisha High School","Tollygunge Golf club","Tollygunge Station","South City Mall","Jadavpur University","Taj Bengal, Kolkata","South City Businesspark","Netaji Subhash Chandra Bose Intl Airport","NH 12","Gholsapur Stadium","Behala Chowrasta","Umri Hospital","Barisha High School","Tollygunge Golf club","Tollygunge Station","South City Mall","Jadavpur University","Taj Bengal, Kolkata","South City Businesspark","Netaji Subhash Chandra Bose Intl Airport",NA,NA,NA,NA,NA,NA,"1.5 km","2 km","2.1 km","2.2 km","2.5 km","2.8 km","4.9 km","5.7 km","6.6 km","9.6 km","12.3 km","28.8 km","1.5 km","2 km","2.1 km","2.2 km","2.5 km","2.8 km","4.9 km","5.7 km","6.6 km","9.6 km","12.3 km","28.8 km",NA,NA,NA,NA,NA,NA
"5","₹ 45 L - 1 Cr","2, 3, 4 BHK Apartment","880 - 960 sq.ft.","1130 - 1460 sq.ft.","1840 sq.ft.",NA,22.442316077271,88.295475087249,"Mini Theatre","Natural Pond","Swimming Pool","Reflexology Park","Barbecue","Waiting Lounge","Sauna","Spa","Steam Room",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH 12 (Diamond Harbour Rd)","Bharat Sevashram Sangha Hospital","IIM Calcutta","Aristro Club","Joka Metro","Pailan World School","Gholsapur Stadium","The Tollygunge Club","Kolkata Corporate Space","Ballygunge Jn","Netaji Subhash Chandra Bose Intl Airport","NH 12 (Diamond Harbour Rd)","Bharat Sevashram Sangha Hospital","IIM Calcutta","Aristro Club","Joka Metro","Pailan World School","Gholsapur Stadium","The Tollygunge Club","Kolkata Corporate Space","Ballygunge Jn","Netaji Subhash Chandra Bose Intl Airport",NA,NA,NA,NA,NA,NA,NA,NA,"10 Meters","550 Meter","600 Meter","650 Meters","1.5 Km","3.2 Km","6.2 Km","9.7 Km","10 Km","14.6 Km","34.3 Km","10 Meters","550 Meter","600 Meter","650 Meters","1.5 Km","3.2 Km","6.2 Km","9.7 Km","10 Km","14.6 Km","34.3 Km",NA,NA,NA,NA,NA,NA,NA,NA
"6","₹ 54 - 77.33 L","2, 3 BHK Apartment","800 - 1087 sq.ft.","1083 - 1250 sq.ft.",NA,NA,22.632642,88.479143,"Swimming Pool","Changing Area","Water Softener Plant","Creche/Day care","Squash Court","Multipurpose Court","Amphitheatre","Badminton Court","Multipurpose Hall","Indoor Games","Sewage Treatment Plant","CCTV Camera Security","Rain Water Harvesting","24x7 Security","Club House","24/7 Power Backup","Gymnasium","24/7 Water Supply","Children's Play Area","Lift(s)","Car Parking","Fire Fighting Systems","DG Availability",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rajarhat Main Rd","Shree Maa KG School","City Centre Mall Rajarhat","Aliah University","Siksha Tirtha Metro station","Ohio Hospital","Birati Railway Station","Kolkata Airport","Rajarhat Main Rd","Shree Maa KG School","City Centre Mall Rajarhat","Aliah University","Siksha Tirtha Metro station","Ohio Hospital","Birati Railway Station","Kolkata Airport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33m","1Km","5.1Km","5.9Km","6.1Km","8Km","13.2Km","13.2Km","33m","1Km","5.1Km","5.9Km","6.1Km","8Km","13.2Km","13.2Km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","₹ 57.06 L - 1.12 Cr","2, 3, 4 BHK Apartment","913 - 1083 sq.ft.","1146 - 1360 sq.ft.","1679 - 1799 sq.ft.",NA,22.633445178371,88.459192226669,"Swimming Pool","ATM","Grocery Shop","Wi-Fi Connectivity","Pool Table","Banquet Hall","Sun Deck","Community Hall","Badminton Court","Yoga/Meditation Area","Indoor Games","CCTV Camera Security","Club House","24/7 Power Backup","Gated Community","Gymnasium","24/7 Water Supply","Landscape Garden","Children's Play Area","Lift(s)","Car Parking","Senior Citizen Sitout","Paved Compound","InterCom","Fire Fighting Systems",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"City Center 2","4 Lane Expressway","Derozio College","DPS Newton","Charnock Hospital","Tata Medical Center","International Airport","Bidhannagar","Dumdum Junction","Ozone Mall","Haldirams","City Center 2","4 Lane Expressway","Derozio College","DPS Newton","Charnock Hospital","Tata Medical Center","International Airport","Bidhannagar","Dumdum Junction","Ozone Mall","Haldirams",NA,NA,NA,NA,NA,NA,NA,NA,"0.5 Km drive","1 Km drive","2 Kms drive","2 Kms drive","2 Kms drive","2 Kms drive","2 Kms drive","4 Kms drive","4 Kms drive","in close proximity","within reach","0.5 Km drive","1 Km drive","2 Kms drive","2 Kms drive","2 Kms drive","2 Kms drive","2 Kms drive","4 Kms drive","4 Kms drive","in close proximity","within reach",NA,NA,NA,NA,NA,NA,NA,NA
"8","₹ 85 - 96.68 L","3 BHK Apartment","677 - 903 sq.ft.",NA,NA,NA,22.564646511963,88.510995597762,"Acupressure Park","Swimming Pool","Changing Area","Card Room","Barbecue","Jacuzzi","Water Softener Plant","Creche/Day care","Theatre","Gazebo","Banquet Hall","Multipurpose Court","Amphitheatre","Toddler Pool","Party Lawn","Basketball Court","Yoga/Meditation Area","Indoor Games","Sewage Treatment Plant","CCTV Camera Security","Jogging Track","Rain Water Harvesting","24x7 Security","Club House","24/7 Power Backup","Gated Community","Gymnasium","24/7 Water Supply","Landscape Garden","Children's Play Area","Lift(s)","Car Parking","Open Space","Security Cabin","Garbage Disposal","Senior Citizen Sitout","Internal Street Lights","InterCom","Fire Fighting Systems",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Downtown Mall","Infosys Business park, New Town","Biswa Bangla Sarani Road","Aliah University","Ohio Hospital","The Westin Kolkata Rajarhat","NKDA Football Stadium","Eco Park Metro Station","Patharghata High School","NSCB International Airport","Sealdah Railway Station","Downtown Mall","Infosys Business park, New Town","Biswa Bangla Sarani Road","Aliah University","Ohio Hospital","The Westin Kolkata Rajarhat","NKDA Football Stadium","Eco Park Metro Station","Patharghata High School","NSCB International Airport","Sealdah Railway Station",NA,NA,NA,NA,NA,NA,NA,NA,"3.4 Km","3.6 Km","5.7 Km","6 Km","6.3 Km","6.8 Km","8.2 Km","8.9 Km","9.8 Km","15 Km","19.3 Km","3.4 Km","3.6 Km","5.7 Km","6 Km","6.3 Km","6.8 Km","8.2 Km","8.9 Km","9.8 Km","15 Km","19.3 Km",NA,NA,NA,NA,NA,NA,NA,NA
"9","₹ 64 L - 1.43 Cr","2, 3, 4 BHK Apartment","732 sq.ft.","865 - 1125 sq.ft.","1421 - 1601 sq.ft.",NA,22.645797,88.383656,"Mini Theatre","Swimming Pool","Laundry","Flower Garden","Reflexology Park","Changing Area","Aerobics Centre","Barbecue","Terrace Garden","Spa","Steam Room","Water Softener Plant","Creche/Day care","Squash Court","Wi-Fi Connectivity","Pool Table","Cafeteria","Banquet Hall","Fountain","Library","Cricket Pitch","Sun Deck","Lawn Tennis Court","Multipurpose Court","Amphitheatre","Power Back up Lift","Toddler Pool","Party Lawn","Table Tennis","Basketball Court","Badminton Court","Multipurpose Hall","Yoga/Meditation Area","Indoor Games","Sewage Treatment Plant","CCTV Camera Security","Jogging Track","Rain Water Harvesting","24x7 Security","Club House","24/7 Power Backup","Gymnasium","24/7 Water Supply","Landscape Garden","Children's Play Area","Lift(s)","Car Parking","Chess","Senior Citizen Sitout","Anti-termite treatment","Internal Street Lights","Paved Compound","InterCom","Fire Fighting Systems","DG Availability","Waste Management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","₹ 68 L - 1.55 Cr","2, 3, 4 BHK Apartment","586 - 787 sq.ft.","946 - 1046 sq.ft.","1356.25 - 1415 sq.ft.",NA,22.58727,88.50465,"Swimming Pool","Solar Lighting","Visitors Parking","Terrace Garden","High Speed Elevators","Sauna","Spa","Steam Room","Squash Court","Theatre","Wi-Fi Connectivity","Banquet Hall","Sun Deck","Multipurpose Court","Earthquake Resistant","Power Back up Lift","Toddler Pool","Party Lawn","Table Tennis","Multipurpose Hall","Yoga/Meditation Area","Sewage Treatment Plant","Jogging Track","Rain Water Harvesting","24x7 Security","Club House","24/7 Power Backup","Gated Community","Gymnasium","24/7 Water Supply","Landscape Garden","Children's Play Area","Lift(s)","Car Parking","Carrom","Chess","Open Space","Senior Citizen Sitout","DTH Television","Paved Compound","InterCom","Fire Fighting Systems",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Delhi Public School Megacity","Aliah University","AMRI Hospital","Centrus Mall","SH 3, Dash Drone, Newtown","NSCB Intl Airport","NKDA Football Stadium","Eco Park Golf Arena","Santragachi Junction","The Westin Kolkata Rajarhat","Regus - Kolkata, Mani Casadona","Nicco park","Delhi Public School Megacity","Aliah University","AMRI Hospital","Centrus Mall","SH 3, Dash Drone, Newtown","NSCB Intl Airport","NKDA Football Stadium","Eco Park Golf Arena","Santragachi Junction","The Westin Kolkata Rajarhat","Regus - Kolkata, Mani Casadona","Nicco park",NA,NA,NA,NA,NA,NA,"900 M","2.9 Km","11.9 Km","1.9 Km","9.7 Km","11.9 Km","6.6 Km","6.4 Km","29.5 Km","3.9 Km","2.5 Km","10.8 Km","900 M","2.9 Km","11.9 Km","1.9 Km","9.7 Km","11.9 Km","6.6 Km","6.4 Km","29.5 Km","3.9 Km","2.5 Km","10.8 Km",NA,NA,NA,NA,NA,NA
